Gender,Senior_Citz,Partner,Dependents,Tenure,Phone_Serv,Internet_Serv,Online_Sec,Online_Backup,Device_Protect,Tech_Support,Streaming_TV,Contract,Payment_Method,Monthly_Charges,Total_Charges
Male,0,Yes,Yes,1,No,DSL,No,Yes,No,No,No,Month-to-month,Electronic check,30.2,30.2
Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),90.25,6369.45
Male,0,No,Yes,17,Yes,DSL,No,No,No,No,Yes,Month-to-month,Credit card (automatic),64.7,1093.1
Female,1,Yes,No,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Two year,Credit card (automatic),100.36,6766.95
Male,1,Yes,No,2,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Credit card (automatic),95.5,181.65
Female,0,Yes,Yes,27,Yes,DSL,Yes,Yes,Yes,Yes,No,One year,Bank transfer (automatic),66.15,1874.45
Female,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),20.2,20.2
Male,1,No,No,1,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Bank transfer (automatic),45.25,45.25
Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,Electronic check,99.9,7251.7
Male,0,No,No,5,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,69.7,316.9
Female,0,No,No,46,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Credit card (automatic),74.8,3548.3
Male,0,No,No,34,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Electronic check,106.35,3549.25
Female,0,No,No,11,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,97.85,1105.4
Male,0,Yes,Yes,10,Yes,DSL,No,Yes,No,No,No,One year,Mailed check,49.55,475.7
Female,0,Yes,Yes,70,Yes,DSL,Yes,Yes,No,No,Yes,Two year,Credit card (automatic),69.2,4872.35
Female,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,20.75,418.25
Male,0,No,No,63,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,79.85,4861.45
Female,0,Yes,No,13,Yes,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,76.2,981.45
Female,0,No,No,49,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,84.5,3906.7
Male,0,No,No,2,Yes,DSL,No,Yes,No,No,No,Month-to-month,Mailed check,49.25,97
Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,80.65,144.15
Male,0,No,No,52,Yes,DSL,No internet service,No,No,Yes,Yes,Two year,Credit card (automatic),79.75,4217.8
Female,0,Yes,Yes,69,Yes,DSL,Yes,No,Yes,Yes,No,Two year,Credit card (automatic),64.15,4254.1
Female,1,No,No,43,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Electronic check,90.25,3838.75
Female,0,No,No,15,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Month-to-month,Credit card (automatic),99.1,1426.4
Female,1,Yes,No,25,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-month,Credit card (automatic),69.5,1752.65
Female,1,Yes,No,8,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Credit card (automatic),80.65,633.3
Female,1,Yes,Yes,60,Yes,DSL,Yes,Yes,Yes,Yes,No,One year,Credit card (automatic),74.85,4456.35
Male,1,No,No,18,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,95.45,1752.55
Female,0,Yes,Yes,63,Yes,Fiber optic,Yes,No,No,No,Yes,One year,Credit card (automatic),99.65,6311.2
Male,1,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Electronic check,116.19,7076.35
Female,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),24.95,894.3
Female,0,No,No,72,Yes,Fiber optic,No,No,Yes,Yes,Yes,Two year,Credit card (automatic),107.5,7853.7
Female,0,Yes,No,47,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,100.5,4707.1
Male,0,No,No,60,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Bank transfer (automatic),89.9,5450.7
Male,0,Yes,No,72,No,DSL,Yes,Yes,Yes,No,No,Two year,Bank transfer (automatic),42.1,2962
Female,0,Yes,Yes,18,Yes,DSL,No,No,Yes,Yes,No,One year,Credit card (automatic),54.4,957.1
Female,0,No,No,9,Yes,Fiber optic,No,No,No internet service,No,Yes,Month-to-month,Electronic check,94.4,857.25
Male,0,No,No,3,Yes,DSL,No,Yes,No,Yes,Yes,Month-to-month,Electronic check,75.3,244.1
Male,0,Yes,No,47,Yes,Fiber optic,No,Yes,No,No,No,One year,Electronic check,78.9,3650.35
Female,0,No,No,31,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,Mailed check,79.2,2497.2
Female,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.15,930.9
Female,0,No,No,10,Yes,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Mailed check,79.85,887.35
Male,0,No,No,1,Yes,DSL,No,No,No,Yes,No,Month-to-month,Mailed check,49.05,49.05
Female,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,20.4,1090.65
Male,1,Yes,Yes,64,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),111.6,7099
Male,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),24.25,1424.6
Female,0,No,Yes,3,Yes,DSL,Yes,No,No,Yes,No,Month-to-month,Bank transfer (automatic),64.5,177.4
Female,1,No,No,56,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,One year,Electronic check,110.5,6139.5
Female,0,No,No,46,Yes,DSL,No,No,No,No,No,One year,Credit card (automatic),55.65,2688.85
Female,0,Yes,Yes,8,Yes,DSL,Yes,Yes,No,No,No,Month-to-month,Mailed check,54.65,482.25
Male,1,No,No,30,Yes,DSL,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,74.75,2111.3
Male,0,Yes,Yes,45,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),25.9,1216.6
Male,0,No,Yes,1,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Bank transfer (automatic),79.35,79.35
Female,0,Yes,Yes,11,No,DSL,Yes,No,No,No,Yes,Month-to-month,Electronic check,50.55,565.35
Female,0,Yes,No,7,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Bank transfer (automatic),82.83,496.9
Female,0,No,No,42,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),103.8,4327.5
Male,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.15,973.35
Male,0,No,No,9,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Credit card (automatic),99.3,918.75
Female,0,Yes,No,35,Yes,DSL,Yes,No,No,No,Yes,One year,Bank transfer (automatic),62.15,2215.45
Female,0,Yes,Yes,48,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.65,1057
Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),22.68,927.1
Male,0,Yes,No,29,No,DSL,No,No,No,No,Yes,Month-to-month,Mailed check,33.75,1009.25
Female,0,Yes,Yes,30,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Bank transfer (automatic),82.05,2570.2
Male,1,No,No,1,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Electronic check,74.7,74.7
Male,0,Yes,Yes,66,Yes,DSL,Yes,No,Yes,Yes,Yes,Two year,Electronic check,84,5714.25
Male,0,No,No,65,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Month-to-month,Credit card (automatic),117.74,7107
Male,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,No,Yes,Two year,Bank transfer (automatic),100.9,7459.05
Female,0,No,No,12,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Electronic check,78.95,927.35
Male,0,Yes,Yes,71,Yes,DSL,Yes,Yes,No,Yes,No,One year,Credit card (automatic),66.85,4748.7
Male,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),21.05,113.85
Male,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),21,1107.2
Female,1,Yes,No,25,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Electronic check,98.7,2514.5
Female,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.2,20.2
Female,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,18.35,19.45
Male,0,No,No,38,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Bank transfer (automatic),89.45,3605.6
Female,1,Yes,No,66,No,DSL,No,Yes,Yes,No,Yes,One year,Bank transfer (automatic),45.55,3027.25
Male,0,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),110,7611.85
Male,0,No,No,5,No,DSL,No,No,No,No,No,Month-to-month,Mailed check,24.3,100.2
Male,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,No,No,Yes,One year,Credit card (automatic),104.15,7303.05
Female,0,No,No,32,No,DSL,Yes,No,No,No,No,One year,Credit card (automatic),30.15,927.65
Male,0,No,No,43,Yes,Fiber optic,No,No,No,No,Yes,One year,Mailed check,94.35,3921.3
Female,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.4,1363.25
Male,0,Yes,No,55,Yes,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,96.75,5238.9
Female,0,No,No,52,Yes,DSL,Yes,No,Yes,Yes,No,One year,Credit card (automatic),57.95,3042.25
Female,0,No,No,43,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Electronic check,91.65,3954.1
Female,1,Yes,No,37,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,76.5,2868.15
Female,0,Yes,Yes,64,No,DSL,No,Yes,No internet service,Yes,Yes,Two year,Electronic check,54.6,3423.5
Male,0,Yes,Yes,3,Yes,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,89.85,248.4
Female,0,No,No,36,No,DSL,Yes,No,No,No,No,Two year,Bank transfer (automatic),31.05,1126.35
Female,0,Yes,Yes,10,Yes,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Electronic check,100.25,1064.65
Female,0,No,No,41,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,20.65,835.15
Male,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Electronic check,85.2,2151.6
Female,0,Yes,Yes,56,Yes,Fiber optic,No,No,Yes,No,Yes,One year,Credit card (automatic),99.8,5515.45
Female,0,No,No,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.7,112.75
Male,0,No,No,3,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,74.4,229.55
Female,0,Yes,Yes,7,Yes,DSL,Yes,No,No,No,No,Month-to-month,Mailed check,56.75,350.35
Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.85,62.9
Male,0,No,No,33,Yes,Fiber optic,Yes,No,No,Yes,Yes,Two year,Electronic check,88.95,3027.65
Female,1,No,No,27,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Electronic check,78.05,2135.5
Male,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),23.46,1723.95
Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.75,19.75
Male,1,No,No,71,No,DSL,Yes,Yes,No,No,Yes,One year,Electronic check,48.14,3985.35
Female,0,No,No,13,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,87.88,1215.65
Female,0,Yes,Yes,25,No,DSL,Yes,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),58.6,1502.65
Female,0,No,No,67,Yes,DSL,No,No,No,Yes,No,Two year,Bank transfer (automatic),50.55,3260.1
Male,0,No,No,1,No,DSL,No,No,No,No,No,Month-to-month,Electronic check,35.45,35.45
Male,0,No,No,2,Yes,DSL,No,No,No,No,No,Month-to-month,Electronic check,44.35,81.25
Female,0,No,No,43,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.7,1188.2
Female,0,No,No,23,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Bank transfer (automatic),75,1778.5
Female,0,Yes,Yes,64,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,20.2,1277.75
Male,0,No,Yes,57,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,19.6,1170.55
Female,1,Yes,No,1,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,77.51,70.45
Female,1,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),88.05,6425.65
Female,0,No,No,8,Yes,DSL,Yes,No,No,Yes,No,Month-to-month,Electronic check,71.15,563.65
Female,0,Yes,No,61,Yes,Fiber optic,No,Yes,No,No,Yes,Two year,Bank transfer (automatic),101.05,5971.25
Male,0,No,No,64,Yes,Fiber optic,Yes,Yes,No,No,No,One year,Credit card (automatic),84.3,5289.05
Female,1,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),23.95,1756.2
Female,0,Yes,Yes,65,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,Credit card (automatic),99.05,6416.7
Male,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,19.6,61.35
Male,0,No,No,1,Yes,DSL,No,No,No,No,No,Month-to-month,Electronic check,45.65,45.65
Male,0,No,Yes,30,Yes,DSL,No,Yes,Yes,No,Yes,One year,Credit card (automatic),64.5,1929.95
Female,0,Yes,Yes,15,Yes,DSL,No,Yes,Yes,Yes,No,Month-to-month,Mailed check,69.5,1071.4
Female,0,Yes,Yes,8,Yes,DSL,No,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),63.01,564.35
Female,0,No,No,7,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Mailed check,95,655.5
Female,0,Yes,Yes,70,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,One year,Credit card (automatic),107.43,7930.55
Male,0,Yes,Yes,62,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,86.1,5215.25
Female,0,Yes,Yes,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.7,113.5
Female,0,Yes,Yes,14,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Bank transfer (automatic),80.9,1152.8
Female,0,No,No,22,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Bank transfer (automatic),84.15,1821.95
Female,0,Yes,Yes,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,20.15,419.9
Male,0,Yes,Yes,16,Yes,DSL,Yes,No,Yes,No,Yes,Two year,Mailed check,64.25,1024
Male,0,No,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Electronic check,25.7,251.6
Female,0,No,Yes,13,Yes,DSL,Yes,Yes,No,No,No,Month-to-month,Electronic check,56,764.55
Female,0,Yes,No,20,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Electronic check,82.4,1592.35
Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,77.07,135.2
Male,0,No,No,53,Yes,DSL,No,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),65.89,3958.25
Female,0,Yes,Yes,11,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,20.6,233.9
Male,0,Yes,No,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,19.9,1363.45
Female,0,No,No,4,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Bank transfer (automatic),70.9,273
Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),89.05,6254.45
Female,1,Yes,No,58,No,DSL,No,Yes,Yes,No,No,Month-to-month,Electronic check,45.3,2651.2
Female,0,Yes,Yes,16,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,28.41,321.4
Male,0,Yes,No,43,Yes,Fiber optic,Yes,No,Yes,Yes,No,One year,Bank transfer (automatic),84.25,3539.25
Female,0,Yes,No,2,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,104.4,242.8
Male,0,Yes,No,14,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,Mailed check,81.95,1181.75
Female,0,Yes,No,53,Yes,Fiber optic,No,No,Yes,No,Yes,One year,Credit card (automatic),94.85,5000.2
Female,0,No,No,32,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,20.55,654.55
Female,0,Yes,No,34,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,24.7,780.2
Female,1,No,No,15,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,74.45,1145.7
Male,1,No,No,7,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Bank transfer (automatic),76.45,503.6
Female,0,Yes,Yes,15,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),105.35,1559.25
Female,0,Yes,No,61,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),20.55,1252
Female,0,No,No,1,No,DSL,No,Yes,No,No,No,Month-to-month,Bank transfer (automatic),29.95,29.95
Female,0,No,No,1,Yes,DSL,No,No,No,No,No,Month-to-month,Mailed check,45.3,45.3
Male,0,No,No,8,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Bank transfer (automatic),84.5,662.65
Male,0,Yes,Yes,33,Yes,DSL,Yes,No,Yes,No,Yes,One year,Credit card (automatic),74.75,2453.3
Female,0,No,No,13,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Electronic check,79.25,1111.65
Female,0,Yes,No,1,No,DSL,No,No,No,No,No,Month-to-month,Electronic check,24.8,24.8
Male,0,No,No,20,Yes,DSL,No,Yes,No,No,No,Month-to-month,Mailed check,51.8,1023.85
Male,0,No,No,3,No,DSL,No,No,No,Yes,No,Month-to-month,Electronic check,30.4,82.15
Female,0,No,No,13,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,19.65,244.8
Female,0,Yes,No,40,Yes,DSL,No,Yes,No,No,No,Month-to-month,Credit card (automatic),56.6,2379.1
Male,0,Yes,Yes,43,Yes,DSL,Yes,No,No,Yes,No,One year,Credit card (automatic),71.9,3173.35
Male,0,Yes,No,6,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Electronic check,91,531
Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.75,1375.4
Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Two year,Credit card (automatic),109.7,8129.3
Male,0,Yes,Yes,59,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),16.41,1192.7
Female,0,Yes,No,20,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Electronic check,96.55,1901.65
Male,0,Yes,Yes,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),16.54,587.4
Male,0,No,No,59,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,111.35,6519.75
Male,0,Yes,Yes,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),112.25,8041.65
Female,0,No,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.75,20.75
Female,0,Yes,No,27,Yes,Fiber optic,Yes,No,No,Yes,Yes,One year,Credit card (automatic),101.9,2681.15
Female,0,No,No,14,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Credit card (automatic),80.05,1112.3
Male,0,Yes,Yes,71,Yes,Fiber optic,Yes,No,Yes,No,Yes,Two year,Electronic check,105.55,7405.5
Male,0,No,Yes,13,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Credit card (automatic),78.3,1033.95
Male,0,No,No,44,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Credit card (automatic),68.85,2958.95
Female,0,No,No,33,Yes,Fiber optic,No,Yes,No,Yes,No,One year,Mailed check,79.95,2684.85
Male,0,Yes,Yes,72,No,DSL,Yes,Yes,Yes,Yes,No,Two year,Credit card (automatic),55.45,4179.2
Male,0,No,No,1,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,79.9,79.9
Female,0,No,No,19,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Electronic check,106.6,1934.45
Male,0,Yes,No,64,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Credit card (automatic),102.45,6654.1
Female,0,No,No,2,Yes,DSL,No,No,No,No,No,Month-to-month,Credit card (automatic),46,84.5
Female,0,No,No,1,No,DSL,No,No,No,No,No,Month-to-month,Electronic check,32.09,25.25
Male,0,No,Yes,61,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,19.75,1124.2
Female,0,Yes,Yes,29,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,20,540.05
Male,1,Yes,No,23,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,86.8,1975.85
Female,0,Yes,No,57,No,DSL,Yes,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),58.75,3437.45
Male,0,Yes,Yes,72,No,DSL,Yes,Yes,Yes,Yes,No,Two year,Credit card (automatic),45.25,3139.8
Male,0,Yes,No,66,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),56.6,3789.2
Male,0,Yes,Yes,65,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),84.2,5324.5
Male,0,No,No,8,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Bank transfer (automatic),80,624.6
Female,0,No,No,4,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,70.15,268.35
Male,0,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),24.75,1836.9
Male,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,20.2,20.2
Male,0,Yes,No,4,Yes,DSL,No,No,No,Yes,No,Month-to-month,Mailed check,50.05,179.35
Female,0,No,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),19.35,219.35
Male,0,No,No,24,No,DSL,Yes,No,No,No,Yes,One year,Mailed check,40.99,1288.75
Female,0,Yes,Yes,31,Yes,DSL,Yes,No,Yes,Yes,Yes,One year,Mailed check,81.15,2545.75
Male,0,Yes,No,1,Yes,DSL,No,No,No,No,Yes,Month-to-month,Mailed check,55.2,55.2
Female,0,No,No,30,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Credit card (automatic),99.32,2723.15
Female,0,Yes,Yes,47,Yes,DSL,Yes,Yes,No,Yes,Yes,Two year,Credit card (automatic),85.3,4107.25
